school,Street,URI,Email,Religion,School Cluster,Postal Code,NTG Geographic Definition,Type,Fax Number,,,Enrolment,Telephone Number,Suburb,Postal Address,State
Holy Family Catholic School,Calytrix Road,http://www.schools.nt.edu.au,admin@holyfamily.nt.catholic.edu.au,Catholic,Northern Suburbs,812,Provincial,Primary School,(08) 89452254,,,257,(08) 89276188,Karama,"PO Box 40870, Casuarina",NT
Holy Spirit Catholic School,Gsell Street,http://www.schools.nt.edu.au/holyspirit/,holyspirit@austarnet.com.au,Catholic,Northern Suburbs,810,Provincial,Primary School,(08) 89279971,,,341,(08) 89273411,Casuarina,"PO Box 40030, Casuarina",NT
Howard Springs Pre School,295 Whitewood Rd,,,,,,,Pre School,(08) 8983 1834,,,0,(08) 8983 0000,Howard Springs,,
Howard Springs Primary School,295 Whitewood Rd,http://www.schools.nt.edu.au/howardsp/,howard.springs@ntschools.net,Government,Palmerston & Rural,835,Provincial,Primary School,(08) 8983 1834,,,279,(08) 8983 0000,Howard Springs,"PO Box 171, Howard Springs",NT
Humpty Doo Pre School,50 Freds Pass Rd,,,,,,,Pre School,(08) 8988 1845,,,0,(08) 8988 1255,Humpty Doo,,
Humpty Doo Primary School,50 Freds Pass Rd,http://www.schools.nt.edu.au/humptydoo/,humptydoo@ntschools.net,Government,Palmerston & Rural,836,Provincial,Primary School,(08) 8988 1845,,,489,(08) 8988 1255,Humpty Doo,"PO Box 46, Humpty Doo",NT
IDA Standley Pre School,15 Parke Cres,,,,,,,Pre School,89532912,,,0,89526044,Alice Springs,,
Imanpa School,,,sian.munn@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 7483,,,23,(08) 8956 7483,Imanpa,"PMB 76, via Alice Springs",NT
Ipolera School,Community ID 60,,ipolera.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 7875,,,9,(08) 8956 7316,Ipolera,"PMB 114, via Alice Springs",NT
Jabiru Area School,40 Waterhouse Rd,,jabiru.areaschool@ntschools.net,Government,Palmerston & Rural,886,Remote,Area School,(08) 8979 2792,,,273,(08) 8979 2505,Jabiru,"PO Box 246, Jabiru",NT
Jabiru Pre School,40 Waterhouse Rd,,,,,,,Pre School,(08) 8979 2792,,,0,(08) 8979 2505,Jabiru,,
Jilkminggan School,,http://www.schools.nt.edu.au/kathgs/jilkminggan/jilkminggan.htm,des.barritt@ntschools.net,Government,Rivers,852,Very Remote,Group School,(08) 8975 4897,,,91,(08) 8975 4896,Jilkminggan (Duck Creek),"PO Box 4054, Mataranka",NT
Jingili Preschool,10 Jingili Tce,,,,,,,Pre School,(08) 8985 3213,,,0,(08) 8985 1555,Jingili,,
Jingili Primary School,17 Rindberg St,http://www.schools.nt.edu.au/jingili/,jingili.school@ntschools.net,Government,Darwin City,810,Provincial,Primary School,(08) 8985 3213,,,266,(08) 8985 1555,Jingili,"Knowles St, Jingili",NT
Kalkarindji CEC,Whitlam St,http://www.schools.nt.edu.au/riverscluster/kalkaringi/default.htm,principal.kalkaringi@ntschools.net,Government,Rivers,852,Very Remote,Community School,(08) 8975 0813,,,173,(08) 8975 0778,Kalkarindji (Wave Hill),"PMB 41, Katherine",NT
Kalkarindji Pre School,Whitlam St,,,,,,,Pre School,(08) 8975 0813,,,0,(08) 8975 0778,Kalkarindji (Wave Hill),,
Karama Pre School,37 Livistona Rd,,,,,,,Pre School,(08) 8945 0261,,,0,(08) 8927 5111,Karama,,
Karama Primary School,37 Livistona Rd,,karama.school@ntschools.net,Government,Northern Suburbs,813,Provincial,Primary School,(08) 8945 0261,,,268,(08) 8927 5111,Karama,"PO Box 103, Sanderson",NT
Katherine Group School,"Block 4 MacFarlane Campus, Grevilliea Road",http://www.schools.nt.edu.au/kathgs/,stuart.dwyer@nt.gov.au,,,851,,Group School Office,(08) 8972 8716,,,0,(08) 89728 777,Katherine,"PO Box 1546, Katherine",NT
Katherine High School,Grevillea Rd,http://www.schools.nt.edu.au/kathhigh/,ken.barnes@ntschools.net,Government,Rivers,851,Remote,High School,(08) 8973 8288,,,700,(08) 8973 8200,Katherine East,"PO Box 189, Katherine",NT
Katherine School Of The Air,101 Giles St,http://www.schools.nt.edu.au/ksa/,kath.soa@ntschools.net,Government,Rivers,851,Remote,Open Learning Centre,(08) 8972 3651,,,232,(08) 8972 1833,Katherine,"PO Box 531, Katherine",NT
Katherine South Pre School,13 Shepherd St,,,,,,,Pre School,(08) 8972 1857,,,0,(08) 8972 1277,Katherine,,
Katherine South Primary School,Riverbank Dr,,sharni.wilson@ntschools.net,Government,Rivers,851,Remote,Primary School,(08) 8972 1857,,,326,(08) 8972 1277,Katherine,"PO Box 721, Katherine",NT
Kiana School,,http://www.deadlymob.org/col2_ob.cfm?randid=140671,TBA,Government,Palmerston and Rural,861,Very Remote,Group School,(08) 8975 9816,,,21,(08) 8975 9816,Kiana,"PMB 33, Tennant Creek",NT
Kintore Street Pre School,11 Kintore St,,,,,,,Pre School,(08) 8971 0462,,,0,(08) 8971 0060,Katherine,,
Kintore Street School,11 Kintore St,http://www.deadlymob.org/col2_ob.cfm?randid=325119,kintore.school@ntschools.net,Government,Rivers,851,Remote,Primary School,(08) 8971 0462,,,9,(08) 8971 0060,Katherine,"PO Box 1931, Katherine",NT
Kormilda College,1 College Rd,http://www.kormilda.nt.edu.au/,admin@kormilda.nt.edu.au,Independent,Darwin City,828,Provincial,High School,(08) 89470792,,,921,(08) 89221611,Berrimah,"PO Box 241, Berrimah",NT
Lajamanu CEC,,http://www.schools.nt.edu.au/lajacec/,admin.lajamcec@ntschools.net,Government,Rivers,851,Very Remote,Community School,(08) 8975 0948,,,164,(08) 8975 0946,Lajamanu (Hooker Ck),"PMB 63, via Katherine",NT
Lajamanu Pre School,,,,,,,,Pre School,(08) 8975 0948,,,0,(08) 8975 0946,Lajamanu (Hooker Ck),,
Laramba School,,,laramba.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8779,,,91,(08) 8956 8779,Laramba (Napperby),"PMB 213, via Alice Springs",NT
Larapinta Pre School,22 Albrecht Dr,,,,,,,Pre School,(08) 8955 0299,,,0,(08) 8955 0811,Alice Springs,,
Larapinta Primary School,22 Albrecht Dr,http://www.schools.nt.edu.au/larapsch/,stewart.moyses@ntschools.net,Government,Desert Oaks,871,Remote,Primary School,(08) 8955 0299,,,295,(08) 8955 0811,Alice Springs,"PO Box 9021, Alice Springs",NT
Larrakeyah Pre School,3 Packard St,,,,,,,Pre School,(08) 8981 9062,,,0,(08) 8981 3211,Larrakeyah,,
Larrakeyah Primary School,3 Packard St,http://www.schools.nt.edu.au/larrakeyah/,larrakeyah.admin@ntschools.net,Government,Darwin City,801,Provincial,Primary School,(08) 8981 9062,,,337,(08) 8981 3211,Larrakeyah,"PO Box 412, Darwin",NT
Lasseter Group School,"Block A, ASHS, Milner Road",,geoff.hobson@nt.gov.au,,,871,,Group School Office,(08) 89504229,,,0,89504200,Alice Springs,PO Box 1420,NT
Leanyer Pre School,114 Leanyer Dr,,,,,,,Pre School,(08) 8927 2566,,,0,(08) 8927 4022,Leanyer,,
Leanyer Primary School,114 Leanyer Dr,http://www.schools.nt.edu.au/leanyr,adminleanyer@bigpond.com,Government,Northern Suburbs,812,Provincial,Primary School,(08) 8927 2566,,,523,(08) 8927 4022,Leanyer,"Leanyer Drive, Leanyer",NT
Litchfield Christian School,15 Sattler Cres,,admin.lcs@lcs.net.edu.au,Independant,Palmerston & Rural,836,Provincial,Primary School,(08) 89831297,,,91,(08) 89831268,Freds Pass,"PO Box 546, Humpty Doo",NT
Living Waters Lutheran School,5 Albrecht Dr,http://www.schools.nt.edu.au/lwlps/,LivingWaters@austarnet.com.au,Independant,Desert Oaks,871,Remote,Primary School,(08) 89550435,,,356,(08) 89550400,Alice Springs,"PO Box 8869, Alice Springs",NT
Ltyentye Apurte CEC,,http://www.schools.nt.edu.au/ltyentye/,las.admin@latis.net.au,Catholic,Desert Oaks,871,Remote,Community School,(08) 89560963,,,110,(08) 89560937,Santa Teresa (Ltyenty Apurte),"Santa Teresa, via Alice Springs",NT
Ludmilla Pre School,41 Bagot Rd,,,,,,,Pre School,(08) 8999 3232,,,0,(08) 8999 3233,Ludmilla,,
Ludmilla Primary School,41 Bagot Rd,http://www.schools.nt.edu.au/ludps/,admin.ludmilla@ntschools.net,Government,Darwin City,821,Provincial,Primary School,(08) 8999 3232,,,199,(08) 8999 3233,Ludmilla,"PO Box 39945, Winnellie",NT
MacFarlane Pre School,Grevillea Rd,,,,,,,Pre School,(08) 8972 3488,,,0,(08) 8972 3666,Katherine East,,
MacFarlane Primary School,Grevillea Rd,http://www.schools.nt.edu.au/riverscluster/macfarlane/default.htm,jennifer.henderson@ntschools.net,Government,Rivers,850,Remote,Primary School,(08) 8972 3488,,,263,(08) 8972 3666,Katherine East,"Grevillea Road, Katherine East",NT
Malak Pre School,45 Malak Cres,,,,,,,Pre School,(08) 89451901,,,0,(08) 8920 0000,Malak,,
Malak Primary School,45 Malak Cres,http://www.schools.nt.edu.au/malakps/,admin.malak@ntschools.net,Government,Northern Suburbs,812,Provincial,Primary School,(08) 89451901,,,312,(08) 8920 0000,Malak,"45 Malak Crescent, Malak",NT
Mamaruni School,,http://www.schools.nt.edu.au/tegs/mamaruni/mama.htm,mamaruni.sch@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8979 0256,,,80,(08) 8979 0255,Minjilang (Croker Is),"PMB 47, via Winnellie",NT
Maningrida CEC,,,maningrida.cec@ntschools.net,Government,Arnhem,822,Very Remote,Community School,(08) 8979 5907,,,586,(08) 8979 5950,Maningrida,"PMB 67, via Winnellie",NT
Maningrida Pre School,,,,,,,,Pre School,(08) 8979 5907,,,0,(08) 8979 5950,Maningrida,,
Manunda Terrace Pre School,31 Manunda Tce,,,,,,,Pre School,(08) 8945 2486,,,0,(08) 8927 7666,Karama,,
Manunda Terrace Primary School,31 Manunda Tce,http://www.schools.nt.edu.au/manunda/,manunda.school@ntschools.net,Government,Northern Suburbs,812,Provincial,Primary School,(08) 8945 2486,,,254,(08) 8927 7666,Karama,"Manunda Tce, Karama",NT
Manyallaluk Homeland School,,,trish.noy@ntschools.net,Government,Rivers,851,Very Remote,Group School,(08) 89754240,,,28,89754438,Manyallaluk (Eva Valley),"PO Box 271, Katherine",NT
Marrara Christian School,110 Amy Johnson Ave,www.mcc.nt.edu.au,principal.mcc@ntschools.net,Independant,Northern Suburbs,812,Provincial,Community School,(08) 8920 2001,,,398,(08) 8920 2000,Marrara,"PO Box 84, Sanderson",NT
Mataranka Primary School,Roper Tce,http://www.schools.nt.edu.au/kathgs/mataranka/mataranka.htm,alf.murray@ntschools.net,Government,Rivers,852,Very Remote,Group School,,,,37,,Mataranka,"PO Box 4022, Mataranka",NT
